#SALTICAM filter transmission data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#compiled from spreadsheets provided by David Buckley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#compiled by Amanda Gulbis
#,SLOAN,,,,,STROEMGREN,,,,,,,,,Bessell,,,,,,,Hbeta wide (Custom Scientific),,UV,,,H-alpha,
Wavelength(nm),SDSS_up,SDSS_gp,SDSS_rp,SDSS_ip,SDSS_zp,Stromgren_u,Stromgren_v,Stromgren_b,Stromgren_y,Hbeta_wide,SRE_1,SRE_2,SRE_3,SRE_4,CLR-S1,U-S1,B-S1,V-S1,R-S1,I-S1,ND,Wavelength,Hbeta_narrow,Wavelength,340-35,380-40,Wavelength,Halpha-S1
549.5,0.0005,46.4024,14.5919,-0.0009,0.0003,-0.00248,-0.00197,-0.00044,91.7877,0.00042,0.0013,-0.00142,-0.0027,0.00041,99.23697662,0.000569383,0.574708283,87.27351379,1.298487425,0.000251163,2.505863905, , ,999,4.27E-03,1.65E-03,439.8,7.09E-05
550,-0.0005,41.3583,16.5321,-0.0008,0,-0.00203,-0.00173,-0.00035,91.7183,0.00033,0.00125,-0.00135,-0.00254,0.0003,99.2798233,-0.000698442,0.597187519,87.0440979,1.548488855,-0.001545575,2.506471872, , ,1000,4.48E-03,1.68E-03,440,0.000231619
550.5,-0.0004,36.5882,18.4978,0.0005,0,-0.00169,-0.00135,-0.0008,91.7172,-0.00012,0.00107,-0.00089,-0.00222,0,99.24152374,0.000574727,0.619235516,86.84674835,1.829455018,-0.00037475,2.503726244, , ,1001,4.71E-03,1.72E-03,440.2,0.000228123
551,-0.0001,32.0882,20.5689,-0.0002,0.0001,-0.00104,-0.00089,-0.00068,91.753,-0.00019,0.00124,-1.00E-05,-0.00223,-0.00097,99.27941132,-5.46E-05,0.635160923,86.61482239,2.148020983,5.18E-05,2.507121563, , ,1002,4.95E-03,1.76E-03,440.4,0.000153745
551.5,-0.0003,27.8165,22.7661,-0.0007,-0.0005,-0.00101,-0.00013,-0.00077,91.7856,-0.00054,0.00232,0.00041,-0.00188,-0.00149,99.27441406,-0.00015613,0.657665014,86.35516357,2.524847746,0.000370616,2.508190155, , ,1003,5.19E-03,1.80E-03,440.6,5.95E-05
552,-0.0008,24.0283,24.9574,-0.0004,-0.002,-0.0012,0.00036,-0.00089,91.7311,-0.00067,0.0034,0.00072,-0.00166,-0.00165,99.30295563,6.53E-06,0.684253395,86.21170807,2.953469038,0.000236444,2.511121035, , ,1004,5.45E-03,1.83E-03,440.8,6.10E-05
552.5,-0.0005,20.5662,27.2866,0.0003,0.0001,-0.00178,0.00047,-0.00113,91.5796,-0.00062,0.00416,0.00094,-0.00101,-0.00197,99.30163574,0.000353461,0.709439516,85.93218994,3.418208599,-0.000325126,2.506868601, , ,1005,5.72E-03,1.86E-03,441,0.000150083
553,-0.0003,17.5139,29.6028,-0.0002,0.0003,-0.00236,0.00044,-0.00107,91.4119,-0.00078,0.00479,0.00078,-0.00043,-0.00152,99.32046509,-9.56E-05,0.731038451,85.61389923,3.970272779,1.77E-05,2.505116463, , ,1006,6.00E-03,1.90E-03,441.2,0.000183928
553.5,-0.0017,14.9164,31.9093,-0.0005,0.0012,-0.00243,0.00062,-0.00021,91.3595,-0.00073,0.00488,0.0004,-0.00039,-0.00129,99.33123779,-0.000542992,0.754190326,85.41228485,4.558301926,-0.000316701,2.515428782, , ,1007,6.29E-03,1.94E-03,441.4,0.000127912
554,-0.0007,12.6368,34.351,0.0011,0.0005,-0.00246,0.00067,0.0004,91.4898,-0.00101,0.00465,-0.0002,-0.00033,-0.00113,99.30190277,0.000699641,0.780755401,85.22455597,5.229964256,-0.000650692,2.504940033, , ,1008,6.56E-03,1.98E-03,441.6,0.000134603
554.5,-0.0008,10.7178,36.6937,-0.0014,-0.0012,-0.00288,0.00036,0.00083,91.7578,-0.00121,0.00433,-0.00033,-0.00051,-0.00133,99.32572174,0.000252339,0.801085234,84.99213409,5.963245392,-0.000196507,2.511145353, , ,1009,6.86E-03,2.02E-03,441.8,9.40E-05
555,-0.0016,9.0769,39.0337,-0.0007,-0.0003,-0.00274,0.0003,0.00108,92.053,-0.00188,0.00385,-0.00076,-0.00082,-0.00182,99.27372742,0.000480585,0.820034742,84.72754669,6.768945694,-0.000417284,2.509902, , ,1010,7.17E-03,2.07E-03,442,0.000177939
555.5,0.0003,7.6608,41.4446,0.001,-0.0005,-0.00252,-0.00015,0.00075,92.2502,-0.00258,0.00429,-0.00026,-0.00085,-0.00263,99.34362793,3.49E-05,0.841005802,84.48165131,7.640388012,-7.72E-05,2.519405842, , ,1011,7.49E-03,2.11E-03,442.2,3.75E-05
556,-0.0001,6.4931,43.7561,-0.0008,0.0009,-0.00154,-0.00015,0.00079,92.3105,-0.00277,0.00521,4.00E-05,-0.00066,-0.003,99.30414581,0.000373514,0.863757849,84.18350983,8.601617813,-0.00108004,2.515876055, , ,1012,7.82E-03,2.15E-03,442.4,6.97E-05
556.5,0,5.5037,46.1398,-0.0005,0.0006,-0.00157,-0.00016,0.00055,92.2803,-0.00276,0.0063,0.00013,-0.00085,-0.00362,99.38527679,0.000711589,0.882457316,83.93714142,9.634218216,-0.000293749,2.513479233, , ,1013,8.16E-03,2.19E-03,442.6,0.000134901
557,-0.0008,4.6628,48.3306,0,-0.0022,-0.00162,-0.00055,7.00E-05,92.2287,-0.00262,0.00773,0.00018,-0.0007,-0.0035,99.37565613,0.000156737,0.894729912,83.64487457,10.78666782,-0.000178556,2.517176151, , ,1014,8.50E-03,2.24E-03,442.8,8.42E-05
557.5,0.0007,3.9778,50.5781,-0.0005,0.0007,-0.0021,-0.00014,-0.00044,92.1693,-0.00266,0.00903,0.00015,-0.00062,-0.00307,99.40712738,-0.000398603,0.912037849,83.34175873,11.99547768,-0.000509586,2.514369488, , ,1015,8.86E-03,2.27E-03,443,0.000156484
558,0.0001,3.3917,52.7563,-0.0014,-0.0005,-0.00213,-0.00016,-0.00035,91.9915,-0.00284,0.01039,-4.00E-05,-0.00047,-0.00229,99.33999634,-0.000506351,0.920302868,83.05549622,13.31871796,-6.00E-05,2.51688242, , ,1016,9.23E-03,2.34E-03,443.2,-1.90E-05
558.5,-0.0008,2.9003,54.846,-0.002,-0.0008,-0.00239,0,0.0003,91.5288,-0.00241,0.01168,-0.00021,-0.0006,-0.00186,99.32852173,-0.000280386,0.927491307,82.79856873,14.72451401,0.000276012,2.518312693, , ,1017,9.62E-03,2.38E-03,443.4,8.63E-05
559,-0.0006,2.4868,56.8612,0.0019,-0.0005,-0.00231,0.0001,0.00049,90.5835,-0.00256,0.01344,-0.00044,-0.00087,-0.00096,99.38881683,-0.000166466,0.936976373,82.54244232,16.13867378,0.000166852,2.515719175, , ,1018,1.00E-02,2.42E-03,443.6,7.10E-05
559.5,-0.0007,2.1358,58.8636,0.0012,-0.0006,-0.00217,-0.00032,0.00061,89.0136,-0.00271,0.01523,-0.00041,-0.00112,-0.00053,99.40773773,-0.000496097,0.935760319,82.29878235,17.69650078,-5.27E-05,2.517198801, , ,1019,1.04E-02,2.46E-03,443.8,0.000209121
560,-0.0006,1.8448,60.6462,0.0001,0.0003,-0.00209,-0.00078,0.00076,86.7495,-0.00277,0.01707,-0.00056,-0.00123,0.00012,99.35499573,0.000503763,0.938124478,81.93704987,19.30731964,0.0002824,2.519657373, , ,1020,1.08E-02,2.52E-03,444,0.000121239
560.5,-0.0014,1.5964,62.5514,-0.0005,-0.0002,-0.0019,-0.00108,0.00054,83.7831,-0.00253,0.01848,-0.00035,-0.00144,2.00E-05,99.45936584,-0.001043078,0.932271481,81.62909698,20.93716049,-0.000378028,2.52004981, , ,1021,1.12E-02,2.57E-03,444.2,0.00016481
561,-0.0001,1.3814,64.1907,-0.0017,-0.0002,-0.00155,-0.00162,-0.00015,80.1228,-0.00231,0.02039,-0.00035,-0.00194,-0.00011,99.37353516,0.000286695,0.926928997,81.30690765,22.7135067,-0.00026686,2.525534391, , ,1022,1.17E-02,2.62E-03,444.4,0.000123271
561.5,-0.0009,1.2046,65.7686,0,-0.0013,-0.00146,-0.00138,-0.00069,75.7887,-0.0023,0.02231,0.00046,-0.00212,-0.00037,99.38137054,-0.00059564,0.922525585,80.96101379,24.44842529,0.00039798,2.527584791, , ,1023,1.21E-02,2.67E-03,444.6,0.0001626
562,-0.0008,1.0501,67.3582,-0.0001,0.0011,-0.00168,-0.00102,-0.00121,70.8296,-0.00234,0.02361,0.00041,-0.00258,-0.0003,99.34809875,-0.000483986,0.909356594,80.64755249,26.27039528,-0.000152625,2.523793936, , ,1024,1.25E-02,2.73E-03,444.8,8.21E-05
562.5,0.0002,0.9176,68.7803,-0.0002,-0.0024,-0.00196,-0.00097,-0.00152,65.3809,-0.00268,0.02498,0.00013,-0.00309,-0.00042,99.42729187,-4.17E-05,0.898121595,80.33886719,28.13045692,6.93E-05,2.527373791, , ,1025,1.30E-02,2.77E-03,445,0.000212285
563,-0.001,0.8065,70.1506,-0.0002,0.0009,-0.00178,-0.00012,-0.00173,59.6433,-0.00247,0.02661,-0.0003,-0.00272,-0.0003,99.38870239,0.000620795,0.88654089,80.02372742,30.00625992,-0.000482801,2.526668549, , ,1026,1.35E-02,2.84E-03,445.2,0.000112175
563.5,-0.0001,0.7105,71.4956,-0.0007,-0.0003,-0.0017,1.00E-05,-0.00163,53.8328,-0.00245,0.02805,-0.00082,-0.00264,-0.00051,99.4883194,-0.000152773,0.871810019,79.70999146,31.91148376,-0.000152073,2.526375294, , ,1027,1.39E-02,2.89E-03,445.4,0.000134133
564,0.001,0.6296,72.6345,0.0006,0.002,-0.00193,-0.00052,-0.00201,48.1318,-0.00213,0.02999,-0.0011,-0.00258,-0.00038,99.51127625,-0.000155816,0.853941381,79.31072998,33.86043167,-4.44E-05,2.52114439, , ,1028,1.44E-02,2.95E-03,445.6,7.80E-05
564.5,-0.0009,0.5565,73.8451,-0.0018,0.0006,-0.00185,-0.00107,-0.00186,42.6859,-0.00193,0.03241,-0.00071,-0.00267,-0.0001,99.44983673,0.000282612,0.833204567,78.95965576,35.75686264,-0.000603767,2.525831938, , ,1029,1.49E-02,3.00E-03,445.8,0.000213697
565,-0.0018,0.4948,74.9026,0.0003,-0.0003,-0.00174,-0.00161,-0.00235,37.6023,-0.00248,0.03481,-0.00064,-0.00252,-7.00E-05,99.46325684,-0.000725228,0.811837137,78.63166809,37.65337372,-0.000168749,2.53322196, , ,1030,1.54E-02,3.06E-03,446,0.000219678
565.5,-0.0004,0.4417,75.9021,-0.0011,0.002,-0.00161,-0.00206,-0.00228,32.9446,-0.00299,0.03721,-0.0001,-0.00285,-0.00061,99.40615845,0.000273722,0.791285813,78.33861542,39.48113632,-0.000504715,2.525032759, , ,1031,1.59E-02,3.13E-03,446.2,0.000214031
566,0.0004,0.3944,77.0177,0.0012,-0.0004,-0.00161,-0.00195,-0.00246,28.7523,-0.00303,0.04043,0.00052,-0.00261,-0.00082,99.49768829,-0.000390087,0.763706565,78.02323151,41.36225128,-0.000167985,2.52328825, , ,1032,1.64E-02,3.19E-03,446.4,3.85E-05
566.5,-0.0027,0.3533,77.7772,0,-0.0008,-0.0016,-0.00156,-0.00267,25.024,-0.00353,0.04293,0.00111,-0.00238,-0.00093,99.44212341,-4.70E-05,0.738679588,77.68915558,43.27423096,-0.000600919,2.530437708, , ,1033,1.69E-02,3.24E-03,446.6,0.000198093
567,-0.0009,0.3189,78.7648,-0.0011,-0.001,-0.00149,-0.00112,-0.00273,21.7422,-0.00365,0.04559,0.00066,-0.00202,-0.00108,99.46573639,-0.000476088,0.714776099,77.31687164,45.00344849,0.000295206,2.533354759, , ,1034,1.74E-02,3.32E-03,446.8,0.000338336
567.5,-0.0002,0.2877,79.4886,-0.0007,-0.0006,-0.00141,-0.00118,-0.00263,18.8728,-0.00355,0.04758,0.00015,-0.00184,-0.00116,99.48725891,-0.000681291,0.683769584,76.91964722,46.80987167,-0.000133588,2.531270742, , ,1035,1.79E-02,3.38E-03,447,0.000175923
568,0.0005,0.2595,80.3152,-0.0015,-0.0019,-0.00131,-0.00149,-0.00245,16.3732,-0.00316,0.04957,-0.00055,-0.0019,-0.00167,99.49634552,-0.000338669,0.65802455,76.60038757,48.65532684,-0.000557698,2.531355381, , ,1036,1.85E-02,3.43E-03,447.2,0.000196721
568.5,0.001,0.2359,81.0641,0.0014,-0.0002,-0.00138,-0.00181,-0.00204,14.2052,-0.00312,0.05161,-0.00043,-0.00147,-0.00177,99.4905777,-0.000109259,0.630044639,76.15335846,50.32045364,-2.48E-07,2.534041643, , ,1037,1.90E-02,3.50E-03,447.4,0.000165615
569,-0.0009,0.2125,81.7474,-0.0006,-0.001,-0.00158,-0.00254,-0.00155,12.3295,-0.00291,0.05412,-0.00034,-0.00107,-0.00153,99.50249481,-0.000312779,0.597878754,75.75949097,51.98065186,-0.000635919,2.534650087, , ,1038,1.95E-02,3.56E-03,447.6,0.000149623
569.5,-0.0004,0.1946,82.4012,0.0002,-0.0001,-0.00169,-0.00348,-0.00139,10.7163,-0.00286,0.05662,0.00023,-0.00067,-0.00152,99.52802277,0.000341676,0.570632458,75.42466736,53.62548828,-0.000408802,2.536249638, , ,1039,2.01E-02,3.64E-03,447.8,0.000166411
570,-0.0001,0.1782,82.981,-0.0004,-0.0002,-0.00152,-0.00381,-0.0016,9.33716,-0.00289,0.05957,0.00045,-0.00065,-0.00139,99.50630951,-0.00039462,0.538128018,75.05491638,55.19397354,-0.000180503,2.541256189, , ,1040,2.06E-02,3.70E-03,448,0.000162198
570.5,-0.0008,0.1624,83.5773,0.0007,-0.0001,-0.00085,-0.00394,-0.00186,8.15921,-0.00261,0.06215,0.00051,-0.00047,-0.00137,99.54258728,-0.001333677,0.508127332,74.67181396,56.7657814,0.000363401,2.536779404, , ,1041,2.12E-02,3.79E-03,448.2,6.91E-05
571,-0.0001,0.15,84.06,-0.0012,0.0003,-0.00071,-0.00373,-0.00226,7.15309,-0.00205,0.06531,0.00048,-0.00059,-0.00172,99.58673096,-0.000905085,0.479791045,74.27831268,58.1822319,5.43E-06,2.5407691, , ,1042,2.18E-02,3.85E-03,448.4,0.000143526
571.5,-0.0001,0.1372,84.5726,-0.0006,-0.0005,-0.00092,-0.00362,-0.00192,6.29066,-0.00127,0.0687,0.00067,-0.00086,-0.00179,99.52602386,-0.000773621,0.451345176,73.8584671,59.57188416,0.000130817,2.535846949, , ,1043,2.24E-02,3.93E-03,448.6,0.000169155
572,-0.0012,0.1281,85.1901,0.0004,0.0009,-0.0015,-0.00338,-0.002,5.55355,-0.00107,0.07172,0.00041,-0.00088,-0.00245,99.56302643,-0.000640956,0.423921049,73.49246979,60.95822906,-0.000192683,2.541225672, , ,1044,2.29E-02,4.00E-03,448.8,0.000178652
572.5,-0.0004,0.1179,85.5198,-0.0002,0.0012,-0.0013,-0.00321,-0.00167,4.9183,-0.00146,0.0753,0.00026,-0.00111,-0.0029,99.58633423,-6.63E-05,0.397854805,73.021492,62.2507019,0.000157064,2.539338827, , ,1045,2.35E-02,4.08E-03,449,0.000209006
573,-0.0006,0.1076,85.9446,0.0002,0.0006,-0.00114,-0.00318,-0.0013,4.36953,-0.00156,0.07893,0.00028,-0.00107,-0.00304,99.49183655,-0.000273246,0.366301864,72.63033295,63.48048019,0.000170133,2.541558743, , ,1046,2.41E-02,4.14E-03,449.2,0.000143486
573.5,-0.0014,0.1009,86.4681,0.0011,0.0005,-0.00138,-0.00323,-0.00037,3.89354,-0.002,0.08237,0.00014,-0.00076,-0.00265,99.58626556,-0.001027539,0.339829683,72.25208282,64.70341492,-0.000696551,2.538903475, , ,1047,2.47E-02,4.22E-03,449.4,0.000235392
574,0.0002,0.0931,86.7737,-0.0013,-0.0002,-0.00182,-0.00294,-0.0001,3.47795,-0.00222,0.08586,-0.00047,-0.0001,-0.002,99.57462311,-2.10E-05,0.314783543,71.81044006,65.80789948,-0.000240049,2.54050827, , ,1048,2.53E-02,4.31E-03,449.6,0.00014389
574.5,-0.0013,0.0869,87.2755,-0.0017,0.0001,-0.00198,-0.00276,2.00E-05,3.11608,-0.0024,0.08883,-0.00069,0.00028,-0.00103,99.61358643,-0.000331498,0.291970938,71.40969849,66.94776154,0.00042848,2.549996138, , ,1049,2.59E-02,4.38E-03,449.8,0.000311389
575,-0.0002,0.0817,87.6664,0.0009,-0.0017,-0.00219,-0.00204,-0.00014,2.79716,-0.00253,0.09145,-0.0008,0.00028,-0.00101,99.55143738,0.000117553,0.271325201,71.00970459,67.9154129,-0.000204885,2.544198275, , ,1050,2.64E-02,4.46E-03,450,0.000194615
575.5,-0.0016,0.0761,87.9855,0.0013,-0.001,-0.00242,-0.00139,-0.0006,2.51541,-0.00242,0.09441,-0.00093,-0.00015,-0.00065,99.57167816,-0.000188942,0.250173569,70.52198029,68.90008545,-8.10E-05,2.542760134, , ,1051,2.70E-02,4.53E-03,450.2,0.000231545
576,0,0.0706,88.3993,-0.001,-0.0003,-0.00249,-0.00085,-0.00054,2.26481,-0.00164,0.09774,-0.00135,-0.0007,-0.00072,99.55683136,4.13E-05,0.228287444,70.06838989,69.8001709,-0.000383054,2.545264721, , ,1052,2.76E-02,4.63E-03,450.4,0.000112315
576.5,-0.0008,0.0651,88.7569,-0.0006,-0.0021,-0.00266,-0.00048,-0.00067,2.0429,-0.00141,0.10096,-0.00127,-0.00044,-0.00123,99.6113739,-0.000379021,0.207254708,69.69553375,70.64054108,-0.00015853,2.544876575, , ,1053,2.81E-02,4.71E-03,450.6,0.000281903
577,-0.0013,0.0613,89.0696,-0.0001,0.0001,-0.00306,-0.00017,-0.00045,1.84691,-0.00191,0.10484,-0.00149,-0.00036,-0.00168,99.57026672,0.000252226,0.189456761,69.26224518,71.55735779,2.73E-05,2.550038338, , ,1054,2.87E-02,4.78E-03,450.8,0.000247202
577.5,0.0001,0.0582,89.4781,-0.0032,0.0001,-0.00308,0.00012,-9.00E-05,1.67378,-0.00182,0.10874,-0.00154,-0.00021,-0.00143,99.60707092,-0.000847483,0.172280461,68.78214264,72.25898743,-0.000289794,2.548168898, , ,1055,2.92E-02,4.87E-03,451,0.000221741
578,0.0001,0.0531,89.782,-0.0007,-0.0008,-0.00255,0.00028,0.00016,1.52072,-0.0018,0.11341,-0.00126,-0.00017,-0.00134,99.59963226,-0.000158578,0.155730829,68.32559967,72.89123535,0.000837378,2.551304579, , ,1056,2.98E-02,4.96E-03,451.2,0.000208746
578.5,-0.0006,0.0513,90.1602,-0.0006,0.0003,-0.00289,0.00026,0.00081,1.38427,-0.00162,0.11871,-0.00124,-0.00016,-0.00059,99.57614899,-0.000577201,0.141471893,67.92681885,73.63782501,-0.000577451,2.553365946, , ,1057,3.03E-02,5.04E-03,451.4,0.000174003
579,-0.0006,0.048,90.3771,0,0.0002,-0.00352,0.00018,0.00154,1.2631,-0.00163,0.12364,-0.00141,0.00022,-0.00019,99.63468933,-0.000117476,0.127416641,67.48601532,74.37270355,0.000534612,2.551723957, , ,1058,3.08E-02,5.13E-03,451.6,0.000181124
579.5,-0.0005,0.0456,90.6528,0.0007,0.0003,-0.00348,0,0.00175,1.15506,-0.00141,0.12929,-0.00142,0.00023,0.00032,99.69343567,1.10E-05,0.115217969,66.98258209,74.94103241,-0.000420147,2.547300339, , ,1059,3.14E-02,5.21E-03,451.8,0.000221766
580,-0.0003,0.0425,91.0476,0.0003,-0.0004,-0.00336,0,0.00174,1.05883,-0.00138,0.13475,-0.00118,0.00014,0.00051,99.51257324,-0.000714373,0.102292061,66.4408493,75.49947357,0.000458468,2.549659491, , ,1060,3.19E-02,5.30E-03,452,0.000230639
580.5,-0.0007,0.0379,91.1914,0.0012,-0.0009,-0.00282,-0.00023,0.00199,0.97364,-0.00137,0.14103,-0.00127,-0.0004,0.00052,99.60330963,-0.000386727,0.092915937,66.01755524,75.98622131,-0.000831087,2.546120405, , ,1061,3.24E-02,5.40E-03,452.2,0.000205922
581,-0.0001,0.0375,91.4404,-0.0006,0.0002,-0.00267,-0.00023,0.00149,0.89628,-0.00118,0.14799,-0.00201,-0.00059,0.00054,99.61502838,0.00024971,0.083314069,65.54582977,76.49582672,-0.000877481,2.552872419, , ,1062,3.29E-02,5.49E-03,452.4,0.00026567
581.5,0.0007,0.0348,91.6826,-0.0013,0.0014,-0.00229,1.00E-05,0.0011,0.82675,-0.00103,0.15538,-0.0028,-0.00092,0.00034,99.61667633,-0.00017596,0.0746907,65.07949066,77.01721954,-0.000399209,2.553983212, , ,1063,3.35E-02,5.58E-03,452.6,0.000249927
582,-0.0002,0.0324,91.8003,-0.0009,0.0002,-0.00228,0.00013,0.00099,0.76402,-0.00129,0.16312,-0.00321,-0.00104,-0.00031,99.60787964,-0.000591654,0.067093082,64.60923004,77.42121887,6.96E-05,2.558581114, , ,1064,3.40E-02,5.67E-03,452.8,0.000188602
582.5,-0.0012,0.031,91.9384,0.0008,0,-0.0025,0.00059,0.00069,0.70763,-0.00145,0.17198,-0.0032,-0.00109,-0.00068,99.71657562,9.38E-05,0.058551744,64.10691071,77.82144928,-1.55E-05,2.555394173, , ,1065,3.45E-02,5.75E-03,453,0.000128284
583,-0.0012,0.028,92.0299,0.0008,0.002,-0.00247,0.00046,0.0006,0.65661,-0.00088,0.18221,-0.00328,-0.00161,-0.00055,99.61662292,0.000226289,0.051705573,63.59905624,78.23377991,-0.000204616,2.553915024, , ,1066,3.49E-02,5.85E-03,453.2,0.000218602
583.5,0.0006,0.0265,92.1152,-0.0018,-0.0016,-0.00275,0.00012,0.00054,0.60912,-0.00044,0.19322,-0.00332,-0.00213,-0.00031,99.69871521,-0.000629143,0.048032478,63.1088562,78.56085968,4.07E-05,2.559761047, , ,1067,3.54E-02,5.97E-03,453.4,0.000194456
584,-0.0004,0.0243,92.2041,0.0002,-0.0012,-0.00307,0,0.00057,0.56565,-0.00035,0.20502,-0.00353,-0.00224,-0.00013,99.66240692,-0.000890425,0.042135194,62.59489059,78.86437988,0.000806148,2.556627512, , ,1068,3.59E-02,6.05E-03,453.6,0.0001994
584.5,0.0001,0.0224,92.3677,-0.0012,0.0005,-0.00334,-2.00E-05,0.0006,0.52549,-0.00046,0.21774,-0.00354,-0.00254,3.00E-05,99.63196564,0.000265405,0.037903346,62.14783096,79.14168549,0.000265293,2.564280033, , ,1069,3.63E-02,6.14E-03,453.8,0.000224825
585,-0.0006,0.0212,92.3276,0.0009,0.0007,-0.00293,4.00E-05,0.00025,0.48916,-0.00049,0.23243,-0.00367,-0.00288,-2.00E-05,99.66556549,-0.000370643,0.034324113,61.63446426,79.45404816,-0.000150756,2.563297033, , ,1070,3.68E-02,6.23E-03,454,0.000315912
585.5,0.0005,0.0206,92.4265,-0.0004,0.0015,-0.00307,0.00017,-3.00E-05,0.45631,-0.00056,0.24986,-0.00387,-0.00305,0.0001,99.68780518,-0.000660639,0.029792149,61.10697937,79.70663452,-0.000118621,2.558416128, , ,1071,3.72E-02,6.33E-03,454.2,0.000152198
586,-0.0004,0.0199,92.4109,-0.0007,0.0002,-0.00296,-3.00E-05,-8.00E-05,0.42685,-0.0007,0.26967,-0.00409,-0.0027,-0.00026,99.67180634,0.000556565,0.02752679,60.62184143,79.88214874,0.000127868,2.565306187, , ,1072,3.76E-02,6.44E-03,454.4,0.000249424
586.5,-0.0001,0.0168,92.5509,0.0004,-0.0003,-0.00266,-0.00068,-0.00062,0.40056,-0.00108,0.29234,-0.00383,-0.00213,-0.00051,99.69216919,-0.000728117,0.025336828,60.11555099,80.15365601,-0.000282912,2.560159922, , ,1073,3.81E-02,6.53E-03,454.6,0.000252964
587,-0.0012,0.0157,92.5527,-0.0009,-0.0004,-0.00272,-0.00025,-0.00066,0.37551,-0.00123,0.3182,-0.00336,-0.00169,-0.001,99.69459534,-0.000425239,0.023641434,59.62998962,80.33734894,-8.77E-05,2.563850164, , ,1074,3.85E-02,6.63E-03,454.8,0.000278635
587.5,-0.001,0.0159,92.6676,-0.0002,0.0004,-0.00245,0.00042,-0.00034,0.35271,-0.0014,0.34649,-0.00305,-0.00179,-0.00144,99.6800766,-0.000496385,0.020636709,59.12586975,80.44946289,-0.000386875,2.560928106, , ,1075,3.88E-02,6.73E-03,455,0.000181657
588,-0.001,0.015,92.6881,0,-0.0005,-0.00236,0.0011,-0.00055,0.33175,-0.00121,0.37836,-0.00263,-0.00179,-0.00162,99.76967621,-0.000781375,0.019490289,58.60863495,80.68994141,-0.000128087,2.566292763, , ,1076,3.92E-02,6.82E-03,455.2,0.000238686
588.5,0,0.0134,92.7287,0.0006,-0.0007,-0.00197,0.00165,-0.00043,0.31176,-0.00095,0.41469,-0.00216,-0.00212,-0.00178,99.75899506,0.000446545,0.018808259,58.07610321,80.78178406,-0.000304637,2.566329479, , ,1077,3.95E-02,6.93E-03,455.4,0.0001938
589,0.0001,0.0132,92.9184,-0.0014,-0.0007,-0.00196,0.00194,-0.00029,0.29316,-0.00045,0.45603,-0.00184,-0.00249,-0.00189,99.67614746,-0.000679287,0.015441752,57.55176544,80.94213867,0.000456271,2.564675331, , ,1078,3.98E-02,7.03E-03,455.6,0.000137236
589.5,-0.0013,0.0104,92.9848,-0.0004,-0.0007,-0.0022,0.00215,-0.00041,0.27628,-0.00022,0.50333,-0.00162,-0.00258,-0.00227,99.69087219,-0.000406039,0.016127259,57.05106354,81.040802,-0.000293944,2.56562233, , ,1079,4.01E-02,7.13E-03,455.8,0.000224131
590,-0.0005,0.011,93.09,0.0002,0,-0.00269,0.00196,-0.00045,0.26129,-0.00033,0.55913,-0.0015,-0.00234,-0.00231,99.70668793,0.000187115,0.013833198,56.5565567,81.14938354,-0.000471474,2.570158958, , ,1080,4.04E-02,7.22E-03,456,0.000194515
590.5,-0.0002,0.0094,93.1241,-0.0014,0.001,-0.00298,0.00105,-6.00E-05,0.24719,-0.00065,0.62303,-0.00141,-0.00218,-0.00267,99.75914001,-0.000313813,0.012952113,55.99817657,81.23091888,-0.000422771,2.566258907, , ,1081,4.07E-02,7.33E-03,456.2,0.000315978
591,-0.0009,0.0084,93.4464,-0.0006,-0.0003,-0.00286,0.00024,0.00035,0.23457,-0.00056,0.69793,-0.00139,-0.00185,-0.00242,99.7485199,0.000450961,0.011650743,55.52297974,81.33756256,-0.000460945,2.567991018, , ,1082,4.09E-02,7.43E-03,456.4,0.000259089
591.5,0.0004,0.0068,93.5587,-0.0004,0.0015,-0.00298,-0.00054,0.00067,0.22315,-0.00138,0.78612,-0.00073,-0.00155,-0.00262,99.74250793,-0.000300353,0.010137877,54.97822571,81.42138672,-0.000523718,2.567073345, , ,1083,4.11E-02,7.52E-03,456.6,0.000220985
592,-0.0011,0.0067,93.5491,0.0015,-0.0003,-0.00258,-0.00066,0.00065,0.21193,-0.00179,0.88996,-0.00076,-0.00123,-0.00239,99.7637558,-0.000360565,0.012785967,54.42915726,81.44947052,-0.000470755,2.569794416, , ,1084,4.13E-02,7.62E-03,456.8,0.00020375
592.5,-0.0003,0.0065,93.7404,0.0002,-0.0001,-0.00243,-0.00033,0.00041,0.20141,-0.00187,1.01322,-0.00099,-0.00101,-0.00254,99.7258606,1.23E-05,0.010501002,53.90184021,81.49378204,1.16E-05,2.571042299, , ,1085,4.15E-02,7.73E-03,457,9.34E-05
593,-0.0005,0.0062,93.8816,0.0007,0.0001,-0.00231,-0.0002,0.0005,0.19136,-0.00164,1.16117,-0.00121,-0.00103,-0.00263,99.76325226,-0.000564332,0.010840035,53.38191223,81.58935547,-0.000677714,2.568400621, , ,1086,4.17E-02,7.83E-03,457.2,0.000245546
