#SALTICAM filter transmission data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#compiled from spreadsheets provided by David Buckley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#compiled by Amanda Gulbis
#,SLOAN,,,,,STROEMGREN,,,,,,,,,Bessell,,,,,,,Hbeta wide (Custom Scientific),,UV,,,H-alpha,
Wavelength(nm),SDSS_up,SDSS_gp,SDSS_rp,SDSS_ip,SDSS_zp,Stromgren_u,Stromgren_v,Stromgren_b,Stromgren_y,Hbeta_wide,SRE_1,SRE_2,SRE_3,SRE_4,CLR-S1,U-S1,B-S1,V-S1,R-S1,I-S1,ND,Wavelength,Hbeta_narrow,Wavelength,340-35,380-40,Wavelength,Halpha-S1
216,-0.0001,0,-0.0003,0.0012,-0.0014,-0.00424, , , , , , , , , , , , , , , ,478.2,1.65E-03,332,6.21E+01,2.71E-03,306.4,6.37E-05
216.5,-0.0006,-0.0015,0.001,0.0011,0.0009,-0.00716, , , , , , , , , , , , , , , ,478.3,1.71E-03,333,6.32E+01,3.42E-03,306.6,0.000144076
217,-0.002,-0.0004,-0.0007,0.0003,-0.0002,-0.00699, , , , , , , , , , , , , , , ,478.4,1.75E-03,334,6.39E+01,3.67E-03,306.8,6.09E-05
217.5,-0.0004,-0.001,-0.0002,-0.0001,0.0003,-0.00615, , , , , , , , , , , , , , , ,478.5,1.81E-03,335,6.47E+01,4.06E-03,307,7.03E-05
218,-0.0008,-0.0006,-0.0006,0.0002,0.0003,-0.00494, , , , , , , , , , , , , , , ,478.6,2.57E-03,336,6.52E+01,4.92E-03,307.2,8.75E-05
218.5,-0.0006,0.0003,-0.0009,0.0012,0.0003,-0.00358, , , , , , , , , , , , , , , ,478.7,2.33E-03,337,6.57E+01,5.30E-03,307.4,-0.0001057
219,-0.0006,-0.0005,-0.0004,0.0002,0.0001,-0.00333, , , , , , , , , , , , , , , ,478.8,2.39E-03,338,6.60E+01,6.82E-03,307.6,-5.43E-05
219.5,-0.0009,-0.0008,0.0012,0.0009,-0.0009,-0.00336, , , , , , , , , , , , , , , ,478.9,2.88E-03,339,6.65E+01,7.86E-03,307.8,0.000449901
220,0.0002,-0.0005,0.0003,-0.0009,-0.0019,-0.00361, , , , , , , , , , , , , , , ,479,3.25E-03,340,6.67E+01,9.84E-03,308,0.000146113
220.5,-0.0015,-0.0001,0.0001,-0.0001,-0.0011,-0.00352, , , , , , , , , , , , , , , ,479.1,3.02E-03,341,6.72E+01,1.18E-02,308.2,0.000142949
